:START_ID(Application),:END_ID(Purpose)
38098114,1
36805548,2
37842129,2
37612354,4
37662224,1
37822187,1
37741884,7
37854444,1
36804663,2
37642222,1
37701596,1
37800722,12
37682226,1
37712169,1
37742129,7
37742142,2
36520573,17
37854423,18
37822018,18
37752109,1
36441833,1
37611006,2
37822020,18
37740199,1
36280613,1
36109709,17
37791988,1
37822030,7
37692106,1
37832099,1
37622029,18
37661949,1
37681488,1
37742002,1
37631679,2
37731951,1
37631992,1
37681595,1
37751772,2
37692004,1
37631762,1
37791982,4
37651933,1
37791971,44
37651870,1
37612142,1
37742008,1
10089665,1
37651881,1
37811785,1
37802003,12
37077753,1
37661932,1
37711991,2
37702003,18
37641966,2
37692013,18
37661950,2
37791945,1
37661936,2
37641656,7
37791995,62
37782066,2
37612144,1
37841931,1
37610751,2
37831998,44
37791865,1
37612112,1
37720651,1
37601829,1
37802030,1
37761127,1
37721473,1
37782131,1
36890155,1
37831974,2
37681956,1
36400279,2
37197554,2
37691930,7
36803735,2
37801983,1
37681948,1
37691945,1
37621910,2
37601999,1
37701933,1
37841841,1
37671926,1
37711908,2
37691941,1
37681444,7
37831861,1
37841743,1
37752007,1
37761915,1
37701906,1
454052,1
26298574,2
37671937,1
34372079,2
37751999,2
37791882,1
37800170,1
37267592,1
37671924,1
37741891,1
37771886,1
37691982,18
37691975,1
37641921,1
37621901,2
37661861,1
37641666,1
37782025,1
37661855,1
37761908,18
37641959,7
37601979,2
37681953,7
37721926,2
37731902,2
37771899,1
37701472,1
37612040,1
37731824,2
37701802,1
37771879,1
37641406,130
37641837,2
37751916,1
37631861,17
37841820,1
37407156,1
37831843,1
37791794,18
37821851,1
37631842,1
37681636,1
37620367,1
37711880,2
37821880,1
37854137,7
37731834,1
37691888,2
37761254,1
37681895,1
37661840,1
37631915,2
37761067,1
37761825,1
37651796,17
37631862,62
37681180,1
37700576,1
37831927,2
37621870,1
37751902,1
37781998,1
37731712,1
12389132,1
37701788,2
36039306,1
37781682,17
37651768,7
37108024,1
37831854,17
37641820,2
37641816,1
37761758,1
37651728,62
37791793,2
37821828,2
37781827,1
37641861,1
37771373,7
37854157,1
37831894,1
37661785,2
37720167,1
37681303,1
37761813,1
37317684,1
37801803,2
37611935,18
35938486,1
37611926,188
37761759,1
37611902,1
37761762,1
37611953,18
37681800,1
37781880,17
37721789,18
37810302,1
37751868,1
37741749,17
37841668,2
37791772,1
37701767,7
37691855,2
37691828,1
37821783,7
37711779,1
37611956,1
37791739,1
37751688,1
37811886,17
37631791,1
37791796,1
37611950,2
37811869,1
37660990,1
37611594,1
37831775,1
37631833,7
37801825,1
37731794,1
37741729,1
37611938,1
37831802,1
37781916,1
37601891,1
37267850,2
37641760,2
37701777,1
37701779,1
37721827,1
37630954,18
37831821,2
37821792,7
37741543,1
37741751,2
37711792,7
36421136,1
37671760,18
37661707,1
37691807,62
37751847,1
37631787,2
36039943,1
37831763,18
37601834,1
37821666,7
21149906,1
37731677,18
37781367,2
37611805,1
37781802,1
37701740,1
37841694,18
37661655,1
37801612,1
37701724,17
33341779,2
35823892,1
37601820,1
37601819,2
37771756,1
37630961,1
37801349,1
37820667,7
37811804,1
37811787,1
37791691,2
37751794,18
37801815,2
37650565,1
31396726,2
37821702,18
37751815,1
37831666,1
37811463,2
37711705,7
37621731,1
37761717,2
37681700,1
37691744,4
37711739,1
37781808,188
37751780,1
37701695,44
37821675,1
37771728,1
37671710,2
37741668,1
37741676,130
37771735,18
37811728,1
37610762,1
37711575,1
11335677,1
37791711,1
37611597,2
37811578,2
36733172,2
37791710,18
37651670,1
37841659,7
37681714,2
37751822,130
37621715,2
37711374,1
37821698,7
37841687,1
37731698,2
37761751,1
37641687,7
37601791,1
37821701,1
37741195,2
37711652,2
37690495,1
37661596,2
37751726,4
37781726,2
37731640,2
37691114,2
37681655,1
37731642,188
37621640,1
37631470,1
37077809,1
37601725,2
37681666,17
37781781,2
37217579,4
37821608,18
37831402,18
37801656,1
37177831,2
37811713,18
37701628,1
36802944,7
37821618,18
37640708,1
37641457,1
37841570,1
37751107,1
37831639,1
37731637,1
37711640,1
37701646,1
17343158,1
37671673,1
37631658,1
37721682,4
37721677,7
37601716,17
37067173,2
36803487,2
37691724,2
37641672,2
37127479,18
37077276,1
37711641,1
37791598,7
37671674,1
37328751,2
37600949,1
37830850,1
37761657,1
37177841,1
37841594,2
37841552,4
37631643,1
37831674,1
37651617,1
37800583,2
37831116,2
37691383,1
37741625,2
37761508,1
37600999,1
37681641,1
37771658,62
36059066,1
37741604,1
37681573,1
37427158,1
37127806,188
37751705,1
37831571,1
37751675,1
37831563,1
37741569,1
36733453,1
37601651,7
37651582,1
37801674,1
37721599,1
37671599,1
37711588,1
37751666,2
37771625,1
37641601,1
37770653,1
37721612,1
37671618,18
37621626,44
37841535,1
37801684,18
37227811,1
37631586,7
36280834,1
37761587,12
37731386,44
37671600,2
37661476,2
37671634,1
36201550,2
37631629,1
37831594,1
37641562,1
37701556,18
37601676,2
37711626,1
37761091,1
37781712,2
37701058,1
33411541,1
37671596,2
37811675,1
37641556,1
37841522,2
37611667,1
37661538,1
37661489,2
36743141,1
37781631,1
37811432,1
37711546,1
37821538,1
37631545,130
37661515,1
37831519,1
37611619,1
37611658,1
37640670,1
37761536,1
37711552,1
37681551,1
37611643,1
37661500,2
37671547,1
36371569,1
37821530,17
37681471,1
37147785,1
36801601,2
37700204,2
37680182,2
37661431,1
37641524,1
37771542,1
37107399,188
37691519,1
37681531,62
37841472,62
37761554,1
37741493,1
37841457,1
37621574,1
37621413,1
37601615,1
37631536,2
37800296,1
37611270,1
37601584,18
37751576,18
37841448,1
37741487,18
37751428,1
37711505,17
37751566,2
37701521,1
37611567,1
37811568,1
37621531,1
37641514,7
37731460,1
37781596,1
37681506,1
37841426,2
37751480,2
37107234,1
37781601,7
37701519,62
36119630,2
37831494,2
37711500,1
37740668,1
37711490,2
37641481,2
37821463,1
37831469,18
37701318,1
37601591,2
37621233,2
36860143,1
37671503,1
37631502,1
37841429,1
37800714,1
37831471,2
37611593,2
36331431,1
37821494,1
32349399,1
37831477,2
37841428,1
37761295,1
37751581,1
37721518,2
37621513,1
37711464,18
37821455,2
37721502,2
37771471,1
37701461,1
37830811,2
37821450,1
37641448,1
37711472,2
36220470,1
37720929,1
37701495,7
37661426,1
37611559,2
37621480,4
36119381,7
37801531,1
37631465,2
37631457,2
37207932,4
37661445,1
37761468,1
37611376,4
37801300,1
37821449,1
37831444,1
37731416,1
37611542,62
37621461,2
37621487,1
37601076,1
36801518,2
36281033,2
36019516,7
37671420,18
37731356,1
37771432,1
37621463,1
16402028,2
37741416,18
37741435,1
37721438,1
37751532,1
37771406,1
37711459,18
37641419,1
37690957,1
37811487,1
37620902,1
37631405,2
37671430,1
36797598,7
37751483,2
37651351,1
37691484,1
37841375,1
37641398,18
37641397,1
37691476,1
37771414,1
37761440,2
37801484,1
37791356,1
37831382,2
37651373,1
37601500,1
37731388,2
37751449,1
37631386,2
37800346,1
37781483,2
37701396,1
37601439,2
37831333,7
37751452,2
37841350,7
37831271,1
37631404,1
37811403,2
37731349,1
37771369,1
37711377,1
37601467,1
37701407,1
36631183,1
37681359,1
37791297,2
37741410,18
37631364,2
37601389,1
37631387,7
37681188,2
37761406,18
37751281,1
37721420,1
37771351,1
37641363,2
37631378,1
37721392,62
37671407,2
37691440,1
37821372,1
37601493,1
37821382,1
37800951,1
37701404,1
37601478,1
37601480,1
37651345,1
37801469,1
37641358,1
37841343,1
37127527,1
37287167,62
37651327,1
37731313,7
37651312,1
37681309,7
37147634,1
37651287,1
37701328,1
37741369,1
37801410,1
37630860,18
37701377,18
37327544,2
36361523,188
37840854,2
37771333,1
37821331,1
37771331,1
37711348,1
37701332,1
37641323,1
37811391,1
37741341,1
37671369,17
37841307,1
37601423,2
35763229,1
37811352,62
37801417,1
36049003,1
37690814,1
37821318,18
37741326,2
37681342,62
37711342,1
37631325,1
37671328,2
37791306,1
37611397,2
37731243,1
37671298,1
37077921,2
37691384,1
37811389,18
37621371,1
37661348,1
37721383,1
37841314,18
37831326,1
37791309,1
37741374,17
37711341,4
37811405,1
37771322,1
37611403,2
37611437,1
37681338,18
37841313,1
37307321,62
37661355,1
37711350,2
35854056,1
37801423,130
37781409,17
37831302,2
37831296,1
37631346,62
37621249,1
37791282,2
37761323,1
