applicationId:ID(Application),open_acc,pub_rec,issue_d
38098114,6,0,Dec-2014
36805548,17,0,Dec-2014
37842129,10,0,Dec-2014
37612354,8,0,Dec-2014
37662224,11,0,Dec-2014
37822187,12,0,Dec-2014
37741884,9,0,Dec-2014
37854444,7,0,Dec-2014
36804663,14,0,Dec-2014
37642222,8,0,Dec-2014
37701596,5,0,Dec-2014
37800722,11,0,Dec-2014
37682226,7,0,Dec-2014
37712169,14,0,Dec-2014
37742129,11,0,Dec-2014
37742142,10,1,Dec-2014
36520573,7,0,Dec-2014
37854423,9,0,Dec-2014
37822018,3,0,Dec-2014
37752109,8,0,Dec-2014
36441833,11,0,Dec-2014
37611006,13,0,Dec-2014
37822020,17,0,Dec-2014
37740199,11,0,Dec-2014
36280613,6,0,Dec-2014
36109709,14,0,Dec-2014
37791988,19,0,Dec-2014
37822030,11,0,Dec-2014
37692106,15,0,Dec-2014
37832099,12,0,Dec-2014
37622029,8,0,Dec-2014
37661949,9,1,Dec-2014
37681488,10,1,Dec-2014
37742002,6,0,Dec-2014
37631679,10,1,Dec-2014
37731951,9,0,Dec-2014
37631992,5,0,Dec-2014
37681595,6,0,Dec-2014
37751772,10,0,Dec-2014
37692004,25,0,Dec-2014
37631762,11,0,Dec-2014
37791982,7,0,Dec-2014
37651933,7,0,Dec-2014
37791971,7,1,Dec-2014
37651870,4,0,Dec-2014
37612142,15,0,Dec-2014
37742008,5,0,Dec-2014
10089665,24,0,Dec-2014
37651881,7,0,Dec-2014
37811785,8,0,Dec-2014
37802003,7,0,Dec-2014
37077753,9,0,Dec-2014
37661932,12,0,Dec-2014
37711991,20,0,Dec-2014
37702003,8,1,Dec-2014
37641966,18,0,Dec-2014
37692013,14,0,Dec-2014
37661950,22,0,Dec-2014
37791945,12,0,Dec-2014
37661936,5,0,Dec-2014
37641656,4,0,Dec-2014
37791995,18,1,Dec-2014
37782066,10,0,Dec-2014
37612144,17,0,Dec-2014
37841931,22,0,Dec-2014
37610751,14,0,Dec-2014
37831998,12,0,Dec-2014
37791865,8,0,Dec-2014
37612112,17,0,Dec-2014
37720651,8,0,Dec-2014
37601829,11,0,Dec-2014
37802030,17,0,Dec-2014
37761127,10,0,Dec-2014
37721473,12,1,Dec-2014
37782131,13,1,Dec-2014
36890155,27,0,Dec-2014
37831974,8,0,Dec-2014
37681956,10,0,Dec-2014
36400279,10,0,Dec-2014
37197554,8,0,Dec-2014
37691930,15,0,Dec-2014
36803735,5,0,Dec-2014
37801983,11,0,Dec-2014
37681948,8,0,Dec-2014
37691945,10,0,Dec-2014
37621910,21,0,Dec-2014
37601999,14,0,Dec-2014
37701933,8,0,Dec-2014
37841841,6,0,Dec-2014
37671926,7,0,Dec-2014
37711908,8,0,Dec-2014
37691941,14,0,Dec-2014
37681444,8,0,Dec-2014
37831861,15,0,Dec-2014
37841743,11,1,Dec-2014
37752007,7,0,Dec-2014
37761915,11,0,Dec-2014
37701906,10,0,Dec-2014
454052,13,0,Dec-2014
26298574,7,1,Dec-2014
37671937,9,0,Dec-2014
34372079,10,0,Dec-2014
37751999,12,0,Dec-2014
37791882,9,1,Dec-2014
37800170,15,0,Dec-2014
37267592,12,0,Dec-2014
37671924,17,0,Dec-2014
37741891,31,0,Dec-2014
37771886,17,1,Dec-2014
37691982,10,0,Dec-2014
37691975,13,1,Dec-2014
37641921,12,0,Dec-2014
37621901,8,0,Dec-2014
37661861,5,0,Dec-2014
37641666,10,0,Dec-2014
37782025,32,0,Dec-2014
37661855,13,1,Dec-2014
37761908,9,1,Dec-2014
37641959,10,0,Dec-2014
37601979,17,0,Dec-2014
37681953,13,0,Dec-2014
37721926,5,0,Dec-2014
37731902,28,0,Dec-2014
37771899,8,0,Dec-2014
37701472,7,0,Dec-2014
37612040,14,0,Dec-2014
37731824,9,0,Dec-2014
37701802,7,0,Dec-2014
37771879,14,0,Dec-2014
37641406,22,1,Dec-2014
37641837,27,0,Dec-2014
37751916,6,0,Dec-2014
37631861,10,0,Dec-2014
37841820,16,0,Dec-2014
37407156,15,0,Dec-2014
37831843,4,0,Dec-2014
37791794,17,0,Dec-2014
37821851,12,1,Dec-2014
37631842,7,4,Dec-2014
37681636,9,0,Dec-2014
37620367,15,0,Dec-2014
37711880,9,0,Dec-2014
37821880,4,0,Dec-2014
37854137,9,3,Dec-2014
37731834,14,0,Dec-2014
37691888,13,1,Dec-2014
37761254,9,2,Dec-2014
37681895,14,0,Dec-2014
37661840,27,0,Dec-2014
37631915,22,0,Dec-2014
37761067,5,0,Dec-2014
37761825,11,0,Dec-2014
37651796,10,0,Dec-2014
37631862,6,0,Dec-2014
37681180,7,1,Dec-2014
37700576,6,0,Dec-2014
37831927,6,1,Dec-2014
37621870,11,1,Dec-2014
37751902,12,0,Dec-2014
37781998,14,1,Dec-2014
37731712,11,0,Dec-2014
12389132,9,1,Dec-2014
37701788,5,0,Dec-2014
36039306,10,0,Dec-2014
37781682,10,0,Dec-2014
37651768,10,0,Dec-2014
37108024,6,0,Dec-2014
37831854,10,0,Dec-2014
37641820,9,0,Dec-2014
37641816,8,0,Dec-2014
37761758,9,0,Dec-2014
37651728,4,0,Dec-2014
37791793,14,0,Dec-2014
37821828,16,0,Dec-2014
37781827,7,0,Dec-2014
37641861,22,0,Dec-2014
37771373,12,0,Dec-2014
37854157,6,0,Dec-2014
37831894,11,0,Dec-2014
37661785,8,0,Dec-2014
37720167,22,0,Dec-2014
37681303,11,0,Dec-2014
37761813,32,0,Dec-2014
37317684,13,0,Dec-2014
37801803,7,0,Dec-2014
37611935,26,0,Dec-2014
35938486,19,0,Dec-2014
37611926,4,0,Dec-2014
37761759,11,1,Dec-2014
37611902,11,0,Dec-2014
37761762,2,0,Dec-2014
37611953,17,0,Dec-2014
37681800,11,0,Dec-2014
37781880,9,0,Dec-2014
37721789,11,0,Dec-2014
37810302,12,0,Dec-2014
37751868,9,0,Dec-2014
37741749,10,0,Dec-2014
37841668,8,0,Dec-2014
37791772,12,1,Dec-2014
37701767,14,0,Dec-2014
37691855,10,0,Dec-2014
37691828,13,0,Dec-2014
37821783,12,0,Dec-2014
37711779,12,2,Dec-2014
37611956,5,0,Dec-2014
37791739,7,1,Dec-2014
37751688,21,0,Dec-2014
37811886,14,2,Dec-2014
37631791,4,0,Dec-2014
37791796,11,0,Dec-2014
37611950,5,0,Dec-2014
37811869,9,0,Dec-2014
37660990,20,0,Dec-2014
37611594,14,0,Dec-2014
37831775,9,0,Dec-2014
37631833,7,0,Dec-2014
37801825,9,1,Dec-2014
37731794,9,0,Dec-2014
37741729,16,1,Dec-2014
37611938,15,2,Dec-2014
37831802,16,0,Dec-2014
37781916,15,0,Dec-2014
37601891,13,0,Dec-2014
37267850,6,0,Dec-2014
37641760,7,0,Dec-2014
37701777,8,1,Dec-2014
37701779,8,0,Dec-2014
37721827,9,0,Dec-2014
37630954,11,0,Dec-2014
37831821,5,0,Dec-2014
37821792,9,1,Dec-2014
37741543,17,0,Dec-2014
37741751,19,0,Dec-2014
37711792,12,0,Dec-2014
36421136,7,0,Dec-2014
37671760,15,0,Dec-2014
37661707,29,0,Dec-2014
37691807,7,0,Dec-2014
37751847,11,1,Dec-2014
37631787,26,0,Dec-2014
36039943,10,0,Dec-2014
37831763,14,0,Dec-2014
37601834,11,0,Dec-2014
37821666,17,0,Dec-2014
21149906,13,0,Dec-2014
37731677,9,0,Dec-2014
37781367,12,0,Dec-2014
37611805,19,1,Dec-2014
37781802,11,0,Dec-2014
37701740,15,0,Dec-2014
37841694,10,0,Dec-2014
37661655,8,0,Dec-2014
37801612,10,0,Dec-2014
37701724,12,0,Dec-2014
33341779,4,0,Dec-2014
35823892,10,0,Dec-2014
37601820,7,0,Dec-2014
37601819,4,0,Dec-2014
37771756,8,0,Dec-2014
37630961,14,0,Dec-2014
37801349,7,0,Dec-2014
37820667,14,0,Dec-2014
37811804,9,0,Dec-2014
37811787,6,0,Dec-2014
37791691,6,2,Dec-2014
37751794,8,0,Dec-2014
37801815,11,0,Dec-2014
37650565,5,1,Dec-2014
31396726,25,0,Dec-2014
37821702,5,0,Dec-2014
37751815,20,0,Dec-2014
37831666,21,0,Dec-2014
37811463,12,0,Dec-2014
37711705,14,0,Dec-2014
37621731,7,0,Dec-2014
37761717,25,0,Dec-2014
37681700,4,0,Dec-2014
37691744,3,0,Dec-2014
37711739,17,0,Dec-2014
37781808,7,2,Dec-2014
37751780,12,1,Dec-2014
37701695,6,0,Dec-2014
37821675,8,0,Dec-2014
37771728,2,0,Dec-2014
37671710,13,2,Dec-2014
37741668,9,0,Dec-2014
37741676,13,0,Dec-2014
37771735,13,0,Dec-2014
37811728,9,0,Dec-2014
37610762,5,0,Dec-2014
37711575,15,0,Dec-2014
11335677,19,0,Dec-2014
37791711,17,0,Dec-2014
37611597,8,1,Dec-2014
37811578,20,0,Dec-2014
36733172,19,0,Dec-2014
37791710,14,0,Dec-2014
37651670,7,0,Dec-2014
37841659,7,1,Dec-2014
37681714,7,0,Dec-2014
37751822,12,0,Dec-2014
37621715,12,1,Dec-2014
37711374,9,0,Dec-2014
37821698,7,0,Dec-2014
37841687,4,1,Dec-2014
37731698,10,0,Dec-2014
37761751,10,0,Dec-2014
37641687,6,2,Dec-2014
37601791,11,0,Dec-2014
37821701,20,0,Dec-2014
37741195,19,0,Dec-2014
37711652,10,0,Dec-2014
37690495,15,0,Dec-2014
37661596,9,0,Dec-2014
37751726,16,0,Dec-2014
37781726,5,0,Dec-2014
37731640,4,0,Dec-2014
37691114,8,0,Dec-2014
37681655,8,0,Dec-2014
37731642,14,0,Dec-2014
37621640,10,0,Dec-2014
37631470,9,0,Dec-2014
37077809,23,0,Dec-2014
37601725,19,0,Dec-2014
37681666,11,0,Dec-2014
37781781,6,0,Dec-2014
37217579,7,0,Dec-2014
37821608,13,0,Dec-2014
37831402,6,0,Dec-2014
37801656,11,0,Dec-2014
37177831,11,1,Dec-2014
37811713,5,1,Dec-2014
37701628,8,0,Dec-2014
36802944,13,1,Dec-2014
37821618,20,0,Dec-2014
37640708,13,0,Dec-2014
37641457,8,0,Dec-2014
37841570,7,0,Dec-2014
37751107,15,0,Dec-2014
37831639,18,0,Dec-2014
37731637,14,0,Dec-2014
37711640,3,0,Dec-2014
37701646,10,0,Dec-2014
17343158,19,0,Dec-2014
37671673,17,1,Dec-2014
37631658,12,0,Dec-2014
37721682,8,0,Dec-2014
37721677,22,0,Dec-2014
37601716,8,0,Dec-2014
37067173,10,0,Dec-2014
36803487,8,0,Dec-2014
37691724,9,0,Dec-2014
37641672,8,0,Dec-2014
37127479,9,0,Dec-2014
37077276,10,0,Dec-2014
37711641,10,1,Dec-2014
37791598,10,0,Dec-2014
37671674,16,0,Dec-2014
37328751,11,1,Dec-2014
37600949,11,1,Dec-2014
37830850,20,0,Dec-2014
37761657,23,0,Dec-2014
37177841,17,1,Dec-2014
37841594,22,1,Dec-2014
37841552,26,0,Dec-2014
37631643,16,1,Dec-2014
37831674,13,0,Dec-2014
37651617,6,0,Dec-2014
37800583,28,1,Dec-2014
37831116,12,0,Dec-2014
37691383,8,0,Dec-2014
37741625,11,0,Dec-2014
37761508,11,0,Dec-2014
37600999,12,0,Dec-2014
37681641,11,1,Dec-2014
37771658,13,0,Dec-2014
36059066,8,0,Dec-2014
37741604,12,0,Dec-2014
37681573,11,0,Dec-2014
37427158,15,0,Dec-2014
37127806,12,0,Dec-2014
37751705,13,3,Dec-2014
37831571,9,0,Dec-2014
37751675,9,0,Dec-2014
37831563,14,0,Dec-2014
37741569,12,0,Dec-2014
36733453,13,0,Dec-2014
37601651,10,0,Dec-2014
37651582,8,1,Dec-2014
37801674,21,0,Dec-2014
37721599,17,1,Dec-2014
37671599,19,0,Dec-2014
37711588,4,0,Dec-2014
37751666,7,0,Dec-2014
37771625,12,0,Dec-2014
37641601,5,1,Dec-2014
37770653,7,0,Dec-2014
37721612,8,0,Dec-2014
37671618,11,0,Dec-2014
37621626,6,1,Dec-2014
37841535,10,0,Dec-2014
37801684,9,0,Dec-2014
37227811,15,0,Dec-2014
37631586,10,0,Dec-2014
36280834,23,0,Dec-2014
37761587,9,1,Dec-2014
37731386,9,0,Dec-2014
37671600,12,0,Dec-2014
37661476,11,0,Dec-2014
37671634,19,0,Dec-2014
36201550,15,0,Dec-2014
37631629,13,0,Dec-2014
37831594,3,0,Dec-2014
37641562,21,0,Dec-2014
37701556,9,0,Dec-2014
37601676,11,0,Dec-2014
37711626,6,0,Dec-2014
37761091,9,0,Dec-2014
37781712,6,0,Dec-2014
37701058,15,0,Dec-2014
33411541,17,0,Dec-2014
37671596,17,1,Dec-2014
37811675,9,0,Dec-2014
37641556,15,0,Dec-2014
37841522,6,0,Dec-2014
37611667,4,0,Dec-2014
37661538,7,0,Dec-2014
37661489,5,0,Dec-2014
36743141,15,0,Dec-2014
37781631,13,1,Dec-2014
37811432,6,1,Dec-2014
37711546,37,0,Dec-2014
37821538,11,0,Dec-2014
37631545,20,1,Dec-2014
37661515,12,0,Dec-2014
37831519,7,0,Dec-2014
37611619,7,0,Dec-2014
37611658,18,0,Dec-2014
37640670,8,0,Dec-2014
37761536,13,0,Dec-2014
37711552,13,0,Dec-2014
37681551,4,0,Dec-2014
37611643,4,0,Dec-2014
37661500,10,0,Dec-2014
37671547,14,0,Dec-2014
36371569,17,0,Dec-2014
37821530,5,0,Dec-2014
37681471,10,0,Dec-2014
37147785,14,0,Dec-2014
36801601,17,0,Dec-2014
37700204,6,0,Dec-2014
37680182,9,0,Dec-2014
37661431,15,0,Dec-2014
37641524,20,0,Dec-2014
37771542,6,0,Dec-2014
37107399,8,1,Dec-2014
37691519,10,0,Dec-2014
37681531,18,0,Dec-2014
37841472,4,0,Dec-2014
37761554,13,0,Dec-2014
37741493,8,0,Dec-2014
37841457,7,0,Dec-2014
37621574,10,0,Dec-2014
37621413,19,0,Dec-2014
37601615,8,0,Dec-2014
37631536,8,0,Dec-2014
37800296,8,0,Dec-2014
37611270,5,0,Dec-2014
37601584,7,2,Dec-2014
37751576,13,0,Dec-2014
37841448,10,0,Dec-2014
37741487,10,0,Dec-2014
37751428,14,0,Dec-2014
37711505,7,0,Dec-2014
37751566,21,1,Dec-2014
37701521,18,1,Dec-2014
37611567,11,0,Dec-2014
37811568,13,0,Dec-2014
37621531,11,0,Dec-2014
37641514,12,0,Dec-2014
37731460,11,1,Dec-2014
37781596,11,0,Dec-2014
37681506,11,0,Dec-2014
37841426,15,0,Dec-2014
37751480,8,1,Dec-2014
37107234,5,0,Dec-2014
37781601,20,0,Dec-2014
37701519,7,0,Dec-2014
36119630,10,0,Dec-2014
37831494,14,0,Dec-2014
37711500,13,0,Dec-2014
37740668,9,0,Dec-2014
37711490,3,0,Dec-2014
37641481,14,0,Dec-2014
37821463,15,0,Dec-2014
37831469,9,0,Dec-2014
37701318,8,0,Dec-2014
37601591,18,2,Dec-2014
37621233,11,1,Dec-2014
36860143,8,0,Dec-2014
37671503,13,0,Dec-2014
37631502,16,0,Dec-2014
37841429,16,0,Dec-2014
37800714,10,0,Dec-2014
37831471,12,0,Dec-2014
37611593,8,0,Dec-2014
36331431,23,0,Dec-2014
37821494,9,0,Dec-2014
32349399,9,0,Dec-2014
37831477,12,0,Dec-2014
37841428,18,1,Dec-2014
37761295,6,0,Dec-2014
37751581,13,0,Dec-2014
37721518,12,0,Dec-2014
37621513,13,1,Dec-2014
37711464,8,0,Dec-2014
37821455,6,0,Dec-2014
37721502,9,0,Dec-2014
37771471,7,0,Dec-2014
37701461,24,0,Dec-2014
37830811,18,0,Dec-2014
37821450,7,0,Dec-2014
37641448,10,1,Dec-2014
37711472,33,0,Dec-2014
36220470,15,0,Dec-2014
37720929,14,0,Dec-2014
37701495,13,1,Dec-2014
37661426,15,0,Dec-2014
37611559,21,0,Dec-2014
37621480,13,1,Dec-2014
36119381,8,0,Dec-2014
37801531,14,0,Dec-2014
37631465,6,0,Dec-2014
37631457,12,1,Dec-2014
37207932,7,0,Dec-2014
37661445,14,0,Dec-2014
37761468,13,1,Dec-2014
37611376,30,1,Dec-2014
37801300,11,1,Dec-2014
37821449,12,0,Dec-2014
37831444,13,0,Dec-2014
37731416,5,0,Dec-2014
37611542,22,1,Dec-2014
37621461,11,0,Dec-2014
37621487,13,0,Dec-2014
37601076,7,0,Dec-2014
36801518,9,1,Dec-2014
36281033,8,0,Dec-2014
36019516,11,1,Dec-2014
37671420,20,0,Dec-2014
37731356,9,0,Dec-2014
37771432,20,0,Dec-2014
37621463,21,0,Dec-2014
16402028,13,0,Dec-2014
37741416,20,0,Dec-2014
37741435,11,1,Dec-2014
37721438,11,0,Dec-2014
37751532,15,0,Dec-2014
37771406,17,0,Dec-2014
37711459,7,0,Dec-2014
37641419,9,1,Dec-2014
37690957,10,0,Dec-2014
37811487,16,0,Dec-2014
37620902,9,0,Dec-2014
37631405,13,0,Dec-2014
37671430,8,0,Dec-2014
36797598,20,1,Dec-2014
37751483,9,0,Dec-2014
37651351,6,0,Dec-2014
37691484,8,0,Dec-2014
37841375,18,0,Dec-2014
37641398,11,0,Dec-2014
37641397,6,0,Dec-2014
37691476,10,0,Dec-2014
37771414,23,0,Dec-2014
37761440,19,0,Dec-2014
37801484,13,0,Dec-2014
37791356,14,0,Dec-2014
37831382,10,0,Dec-2014
37651373,8,0,Dec-2014
37601500,16,0,Dec-2014
37731388,27,0,Dec-2014
37751449,14,0,Dec-2014
37631386,10,0,Dec-2014
37800346,15,0,Dec-2014
37781483,23,0,Dec-2014
37701396,7,0,Dec-2014
37601439,13,0,Dec-2014
37831333,10,1,Dec-2014
37751452,20,0,Dec-2014
37841350,7,1,Dec-2014
37831271,21,0,Dec-2014
37631404,13,0,Dec-2014
37811403,17,0,Dec-2014
37731349,11,0,Dec-2014
37771369,9,0,Dec-2014
37711377,5,0,Dec-2014
37601467,8,0,Dec-2014
37701407,3,0,Dec-2014
36631183,13,0,Dec-2014
37681359,9,0,Dec-2014
37791297,11,1,Dec-2014
37741410,10,1,Dec-2014
37631364,8,0,Dec-2014
37601389,9,0,Dec-2014
37631387,7,0,Dec-2014
37681188,9,0,Dec-2014
37761406,6,0,Dec-2014
37751281,18,0,Dec-2014
37721420,16,0,Dec-2014
37771351,18,0,Dec-2014
37641363,8,1,Dec-2014
37631378,12,0,Dec-2014
37721392,9,0,Dec-2014
37671407,13,0,Dec-2014
37691440,10,0,Dec-2014
37821372,5,0,Dec-2014
37601493,14,0,Dec-2014
37821382,11,0,Dec-2014
37800951,8,0,Dec-2014
37701404,7,1,Dec-2014
37601478,12,0,Dec-2014
37601480,4,0,Dec-2014
37651345,23,0,Dec-2014
37801469,6,0,Dec-2014
37641358,13,0,Dec-2014
37841343,17,1,Dec-2014
37127527,17,1,Dec-2014
37287167,7,0,Dec-2014
37651327,29,0,Dec-2014
37731313,8,0,Dec-2014
37651312,14,1,Dec-2014
37681309,8,0,Dec-2014
37147634,13,0,Dec-2014
37651287,21,0,Dec-2014
37701328,9,0,Dec-2014
37741369,9,0,Dec-2014
37801410,8,0,Dec-2014
37630860,14,0,Dec-2014
37701377,14,0,Dec-2014
37327544,8,0,Dec-2014
36361523,9,0,Dec-2014
37840854,6,0,Dec-2014
37771333,4,0,Dec-2014
37821331,18,0,Dec-2014
37771331,11,7,Dec-2014
37711348,12,1,Dec-2014
37701332,11,1,Dec-2014
37641323,12,0,Dec-2014
37811391,8,0,Dec-2014
37741341,15,0,Dec-2014
37671369,3,0,Dec-2014
37841307,13,1,Dec-2014
37601423,12,0,Dec-2014
35763229,7,1,Dec-2014
37811352,10,0,Dec-2014
37801417,15,0,Dec-2014
36049003,10,0,Dec-2014
37690814,7,0,Dec-2014
37821318,5,0,Dec-2014
37741326,7,0,Dec-2014
37681342,8,1,Dec-2014
37711342,12,0,Dec-2014
37631325,9,1,Dec-2014
37671328,9,0,Dec-2014
37791306,5,0,Dec-2014
37611397,9,0,Dec-2014
37731243,9,0,Dec-2014
37671298,8,0,Dec-2014
37077921,8,0,Dec-2014
37691384,8,1,Dec-2014
37811389,13,0,Dec-2014
37621371,8,0,Dec-2014
37661348,9,0,Dec-2014
37721383,11,1,Dec-2014
37841314,10,1,Dec-2014
37831326,19,0,Dec-2014
37791309,9,0,Dec-2014
37741374,20,0,Dec-2014
37711341,11,0,Dec-2014
37811405,13,0,Dec-2014
37771322,6,0,Dec-2014
37611403,12,0,Dec-2014
37611437,15,0,Dec-2014
37681338,5,0,Dec-2014
37841313,9,0,Dec-2014
37307321,4,0,Dec-2014
37661355,11,1,Dec-2014
37711350,21,0,Dec-2014
35854056,5,0,Dec-2014
37801423,6,0,Dec-2014
37781409,3,0,Dec-2014
37831302,14,1,Dec-2014
37831296,9,1,Dec-2014
37631346,9,0,Dec-2014
37621249,20,0,Dec-2014
37791282,8,0,Dec-2014
37761323,18,0,Dec-2014
